,Area,BHK,Bathroom,Furnishing,Locality,Price,Transaction,Type,Per_Sqft
37,810.0,2,2.0,Semi-Furnished,Other,8910000.0,Resale,Builder_Floor,11291.5
38,1350.0,3,4.0,Unfurnished,Other,25000000.0,Resale,Apartment,11291.5
39,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000.0,New_Property,Builder_Floor,11291.5
40,1650.0,3,3.0,Semi-Furnished,Other,30000000.0,Resale,Builder_Floor,11291.5
41,1280.0,2,2.0,Furnished,Other,12500000.0,Resale,Builder_Floor,11291.5
42,1260.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,21000000.0,Resale,Builder_Floor,11291.5
43,1130.0,2,2.0,Unfurnished,Other,7800000.0,Resale,Builder_Floor,11291.5
44,600.0,2,2.0,Semi-Furnished,Other,11500000.0,New_Property,Builder_Floor,11291.5
45,850.0,2,2.0,Semi-Furnished,Other,11500000.0,Resale,Builder_Floor,11291.5
46,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000.0,New_Property,Builder_Floor,11291.5
47,900.0,2,2.0,Semi-Furnished,Other,13000000.0,New_Property,Builder_Floor,14444.0
48,1000.0,3,3.0,Semi-Furnished,Other,22000000.0,New_Property,Builder_Floor,22000.0
49,900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,15800000.0,New_Property,Builder_Floor,22000.0
51,900.0,2,2.0,Unfurnished,Other,10000000.0,Resale,Builder_Floor,22000.0
52,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,30000000.0,New_Property,Builder_Floor,22000.0
53,1143.0,3,3.0,Unfurnished,Other,22000000.0,New_Property,Builder_Floor,22000.0
54,1150.0,3,3.0,Semi-Furnished,Other,24000000.0,New_Property,Builder_Floor,22000.0
55,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,31500000.0,Resale,Builder_Floor,22000.0
56,850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,14600000.0,Resale,Builder_Floor,22000.0
58,890.0,2,2.0,Semi-Furnished,Other,8300000.0,Resale,Builder_Floor,22000.0
59,1100.0,3,3.0,Unfurnished,Other,22500000.0,New_Property,Builder_Floor,22000.0
60,750.0,1,1.0,Furnished,Other,4600000.0,Resale,Apartment,11291.5
61,850.0,2,1.0,Semi-Furnished,Other,1900000.0,New_Property,Apartment,2235.0
62,1350.0,3,2.0,Unfurnished,Other,5130000.0,New_Property,Apartment,3800.0
63,1387.0,4,4.0,Unfurnished,Other,5890000.0,New_Property,Apartment,4247.0
64,1050.0,3,2.0,Unfurnished,Other,3700000.0,New_Property,Apartment,3524.0
65,1500.0,3,2.0,Unfurnished,Other,17400000.0,Resale,Apartment,3524.0
66,1200.0,3,3.0,Semi-Furnished,Other,15500000.0,Resale,Apartment,3524.0
67,700.0,2,1.0,Semi-Furnished,Other,2400000.0,New_Property,Apartment,3524.0
68,1700.0,3,2.0,Semi-Furnished,Other,17200000.0,Resale,Apartment,3524.0
69,1550.0,3,2.0,Furnished,Other,14200000.0,Resale,Apartment,3524.0
70,1400.0,3,3.0,Semi-Furnished,Other,13500000.0,Resale,Apartment,3524.0
71,1900.0,4,4.0,Semi-Furnished,Other,30000000.0,Resale,Apartment,3524.0
72,2160.0,4,3.0,Unfurnished,Other,21000000.0,Resale,Apartment,3524.0
73,1700.0,4,3.0,Unfurnished,Other,20500000.0,Resale,Apartment,3524.0
74,1850.0,3,4.0,Semi-Furnished,Other,24000000.0,Resale,Apartment,3524.0
75,1800.0,4,2.0,Semi-Furnished,Other,16500000.0,Resale,Apartment,3524.0
76,1620.0,3,2.0,Semi-Furnished,Other,14900000.0,Resale,Apartment,3524.0
77,1800.0,4,3.0,Furnished,Other,19200000.0,Resale,Apartment,3524.0
78,1540.0,3,3.0,Semi-Furnished,Other,14500000.0,Resale,Apartment,3524.0
79,1600.0,3,3.0,Semi-Furnished,Other,15600000.0,Resale,Apartment,3524.0
80,1400.0,3,2.0,Unfurnished,Other,11400000.0,Resale,Apartment,3524.0
81,2300.0,4,4.0,Furnished,Other,31500000.0,Resale,Apartment,3524.0
82,1560.0,3,2.0,Furnished,Other,15800000.0,Resale,Apartment,3524.0
83,1500.0,3,3.0,Semi-Furnished,Other,16000000.0,Resale,Apartment,3524.0
84,1540.0,3,3.0,Semi-Furnished,Other,14500000.0,Resale,Apartment,3524.0
85,1050.0,2,2.0,Unfurnished,Other,10500000.0,Resale,Apartment,3524.0
86,1800.0,3,2.0,Semi-Furnished,Other,14800000.0,Resale,Apartment,3524.0
87,400.0,1,1.0,Semi-Furnished,Other,1850000.0,New_Property,Builder_Floor,3524.0
88,1150.0,3,2.0,Semi-Furnished,Other,6800000.0,New_Property,Builder_Floor,3524.0
89,1525.0,3,3.0,Semi-Furnished,Other,14200000.0,Resale,Apartment,3524.0
90,900.0,1,1.0,Semi-Furnished,Lajpat Nagar 3,8900000.0,Resale,Builder_Floor,11291.5
91,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,37500000.0,New_Property,Builder_Floor,11291.5
92,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,30000000.0,New_Property,Builder_Floor,11291.5
93,1260.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,21000000.0,Resale,Builder_Floor,11291.5
95,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,30000000.0,Resale,Builder_Floor,11291.5
96,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,30000000.0,New_Property,Builder_Floor,11291.5
97,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,31500000.0,Resale,Builder_Floor,11291.5
98,2200.0,3,3.0,Unfurnished,Lajpat Nagar 3,30000000.0,Resale,Builder_Floor,11291.5
99,1350.0,3,3.0,Unfurnished,Lajpat Nagar 3,41500000.0,New_Property,Builder_Floor,11291.5
100,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,24800000.0,Resale,Builder_Floor,11291.5
101,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,35000000.0,Resale,Builder_Floor,11291.5
102,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,40000000.0,Resale,Builder_Floor,26666.0
103,2880.0,4,5.0,Unfurnished,Lajpat Nagar 3,46000000.0,New_Property,Builder_Floor,15972.0
108,1000.0,2,2.0,Furnished,Lajpat Nagar 3,20000000.0,Resale,Apartment,20000.0
110,1000.0,2,2.0,Furnished,Lajpat Nagar 3,20000000.0,Resale,Apartment,20000.0
111,1700.0,3,3.0,Furnished,Lajpat Nagar 3,19000000.0,Resale,Builder_Floor,20000.0
112,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,26000000.0,Resale,Builder_Floor,20000.0
113,1350.0,3,3.0,Unfurnished,Lajpat Nagar 3,21000000.0,Resale,Builder_Floor,15556.0
114,1700.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,27500000.0,Resale,Builder_Floor,16176.0
115,1400.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,32500000.0,New_Property,Builder_Floor,16176.0
116,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,45000000.0,New_Property,Builder_Floor,16176.0
117,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,21000000.0,Resale,Builder_Floor,15556.0
118,1700.0,3,3.0,Unfurnished,Lajpat Nagar 3,28000000.0,Resale,Builder_Floor,15556.0
119,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,29500000.0,Resale,Builder_Floor,15556.0
120,1500.0,1,2.0,Unfurnished,Lajpat Nagar 2,13500000.0,Resale,Apartment,11291.5
121,800.0,2,2.0,Unfurnished,Lajpat Nagar 2,14000000.0,New_Property,Builder_Floor,11291.5
122,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000.0,New_Property,Builder_Floor,11291.5
123,1350.0,2,2.0,Furnished,Lajpat Nagar 2,12500000.0,Resale,Builder_Floor,9259.0
124,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000.0,New_Property,Builder_Floor,9259.0
125,750.0,2,2.0,Semi-Furnished,Other,11500000.0,New_Property,Builder_Floor,9259.0
126,850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,14600000.0,Resale,Builder_Floor,9259.0
127,1575.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,25500000.0,New_Property,Builder_Floor,9259.0
128,1675.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,31000000.0,New_Property,Builder_Floor,18507.0
129,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,22000000.0,Resale,Builder_Floor,18507.0
130,900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,13400000.0,New_Property,Builder_Floor,18507.0
131,1800.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,35000000.0,New_Property,Builder_Floor,18507.0
132,900.0,2,2.0,Furnished,Lajpat Nagar 2,11000000.0,Resale,Builder_Floor,18507.0
133,900.0,2,2.0,Unfurnished,Other,6300000.0,Resale,Builder_Floor,7000.0
134,900.0,2,2.0,Furnished,Lajpat Nagar 2,12500000.0,Resale,Builder_Floor,7000.0
135,800.0,2,2.0,Unfurnished,Lajpat Nagar 2,14500000.0,New_Property,Builder_Floor,7000.0
136,1100.0,2,3.0,Semi-Furnished,Lajpat Nagar 2,22500000.0,New_Property,Builder_Floor,7000.0
137,810.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,15500000.0,New_Property,Builder_Floor,7000.0
138,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000.0,New_Property,Builder_Floor,7000.0
139,900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,15800000.0,New_Property,Builder_Floor,7000.0
140,825.0,2,2.0,Unfurnished,Lajpat Nagar 2,15000000.0,New_Property,Builder_Floor,7000.0
141,900.0,2,2.0,Unfurnished,Lajpat Nagar 2,13000000.0,New_Property,Builder_Floor,7000.0
142,875.0,2,2.0,Unfurnished,Lajpat Nagar 2,15000000.0,New_Property,Builder_Floor,7000.0
143,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,25000000.0,New_Property,Builder_Floor,7000.0
144,750.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,16500000.0,New_Property,Builder_Floor,7000.0
145,900.0,2,2.0,Unfurnished,Lajpat Nagar 2,10300000.0,New_Property,Builder_Floor,7000.0
146,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000.0,New_Property,Builder_Floor,7000.0
147,900.0,2,2.0,Unfurnished,Lajpat Nagar 2,11000000.0,Resale,Builder_Floor,7000.0
148,1800.0,3,3.0,Unfurnished,Lajpat Nagar 2,28500000.0,New_Property,Builder_Floor,7000.0
149,900.0,2,2.0,Unfurnished,Lajpat Nagar 2,11000000.0,Resale,Builder_Floor,7000.0
150,900.0,2,1.0,Furnished,Budh Vihar,11000000.0,Resale,Apartment,11291.5
151,810.0,3,2.0,Semi-Furnished,Budh Vihar,4500000.0,Resale,Builder_Floor,11291.5
154,900.0,3,2.0,Semi-Furnished,Budh Vihar,4000000.0,Resale,Builder_Floor,4444.0
155,500.0,2,2.0,Semi-Furnished,Other,1650000.0,Resale,Apartment,3300.0
156,450.0,1,1.0,Furnished,Budh Vihar,2000000.0,Resale,Builder_Floor,4444.0
159,500.0,2,1.0,Semi-Furnished,Other,2000000.0,Resale,Builder_Floor,4000.0
161,400.0,1,1.0,Furnished,Budh Vihar,2000000.0,Resale,Builder_Floor,4000.0
167,666.0,1,2.0,Furnished,Other,3500000.0,Resale,Builder_Floor,5255.0
168,1000.0,2,2.0,Semi-Furnished,Other,7600000.0,Resale,Apartment,5255.0
169,1360.0,4,3.0,Semi-Furnished,Rohini Sector 24,13500000.0,New_Property,Builder_Floor,5255.0
170,1550.0,4,3.0,Semi-Furnished,Rohini Sector 24,12500000.0,New_Property,Builder_Floor,5255.0
171,850.0,3,2.0,Semi-Furnished,Other,6500000.0,New_Property,Builder_Floor,5255.0
172,2170.0,4,4.0,Unfurnished,Other,22000000.0,New_Property,Builder_Floor,5255.0
174,850.0,3,2.0,Semi-Furnished,Other,7300000.0,New_Property,Builder_Floor,5255.0
175,950.0,3,2.0,Semi-Furnished,Other,7600000.0,New_Property,Builder_Floor,5255.0
176,2300.0,4,4.0,Semi-Furnished,Other,20000000.0,New_Property,Builder_Floor,5255.0
177,1300.0,4,4.0,Semi-Furnished,Other,15000000.0,New_Property,Builder_Floor,5255.0
178,1100.0,3,2.0,Semi-Furnished,Other,6200000.0,New_Property,Builder_Floor,5255.0
179,1030.0,3,2.0,Furnished,Other,6200000.0,New_Property,Builder_Floor,5255.0
180,350.0,1,1.0,Semi-Furnished,Other,2300000.0,New_Property,Builder_Floor,11291.5
181,750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5000000.0,New_Property,Apartment,6667.0
182,720.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",4700000.0,New_Property,Apartment,6528.0
183,800.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5500000.0,New_Property,Apartment,6875.0
184,350.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",2000000.0,New_Property,Apartment,5714.0
185,980.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",7300000.0,New_Property,Apartment,7449.0
186,1600.0,4,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",13000000.0,New_Property,Apartment,8125.0
187,1450.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",11500000.0,New_Property,Apartment,7931.0
189,380.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",2200000.0,New_Property,Apartment,5789.0
190,680.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",4400000.0,New_Property,Apartment,6471.0
191,1600.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",13500000.0,New_Property,Apartment,8438.0
192,630.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",4100000.0,New_Property,Apartment,6508.0
193,1500.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",12000000.0,New_Property,Apartment,8000.0
194,550.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",3500000.0,New_Property,Apartment,6364.0
195,2500.0,4,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",15000000.0,New_Property,Apartment,6000.0
197,300.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1900000.0,New_Property,Apartment,6333.0
198,800.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5500000.0,New_Property,Apartment,6875.0
199,1295.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",10000000.0,New_Property,Apartment,6875.0
201,350.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",2400000.0,New_Property,Builder_Floor,6714.0
203,2200.0,4,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",23000000.0,New_Property,Builder_Floor,6714.0
204,2300.0,4,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",24500000.0,New_Property,Builder_Floor,6714.0
205,1150.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",10000000.0,New_Property,Builder_Floor,6714.0
206,800.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5500000.0,New_Property,Builder_Floor,6714.0
207,850.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",7000000.0,New_Property,Builder_Floor,6714.0
210,750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5000000.0,New_Property,Apartment,6667.0
212,950.0,3,2.0,Furnished,Other,4370000.0,New_Property,Apartment,4600.0
213,1000.0,3,2.0,Unfurnished,Other,4620000.0,New_Property,Apartment,4620.0
214,850.0,2,1.0,Semi-Furnished,Other,1900000.0,New_Property,Apartment,2235.0
215,2400.0,4,4.0,Semi-Furnished,Other,52250000.0,New_Property,Apartment,2235.0
216,1350.0,3,2.0,Unfurnished,Other,5130000.0,New_Property,Apartment,3800.0
217,540.0,2,2.0,Semi-Furnished,Other,3000000.0,New_Property,Apartment,5000.0
218,1387.0,4,4.0,Unfurnished,Other,5890000.0,New_Property,Apartment,4247.0
219,540.0,2,2.0,Semi-Furnished,Other,3300000.0,New_Property,Apartment,6111.0
220,976.0,2,2.0,Furnished,Other,24900000.0,New_Property,Apartment,25512.0
221,1050.0,3,2.0,Unfurnished,Other,3700000.0,New_Property,Apartment,3524.0
222,2700.0,4,3.0,Semi-Furnished,Other,52250000.0,New_Property,Builder_Floor,22222.0
223,1500.0,3,2.0,Unfurnished,Other,17400000.0,Resale,Apartment,22222.0
226,1000.0,3,2.0,Semi-Furnished,Other,5510000.0,New_Property,Builder_Floor,22222.0
227,1135.0,3,3.0,Furnished,"The Amaryllis, Karol Bagh",25000000.0,Resale,Apartment,22222.0
228,2306.0,3,3.0,Unfurnished,"The Leela Sky Villas, Patel Nagar",52250000.0,New_Property,Apartment,24718.0
229,850.0,2,2.0,Semi-Furnished,Other,2940000.0,New_Property,Apartment,24718.0
230,1200.0,3,3.0,Semi-Furnished,Other,15500000.0,Resale,Apartment,24718.0
231,1700.0,3,2.0,Semi-Furnished,Other,17200000.0,Resale,Apartment,24718.0
236,1600.0,3,3.0,Semi-Furnished,Other,30000000.0,New_Property,Builder_Floor,18750.0
237,700.0,2,2.0,Semi-Furnished,Other,2400000.0,New_Property,Builder_Floor,18750.0
250,1600.0,3,3.0,Semi-Furnished,New Friends Colony,40000000.0,Resale,Apartment,15459.0
252,2100.0,4,5.0,Semi-Furnished,New Friends Colony,52250000.0,New_Property,Builder_Floor,15459.0
254,1500.0,3,3.0,Semi-Furnished,New Friends Colony,52250000.0,New_Property,Builder_Floor,15459.0
256,2200.0,4,4.0,Semi-Furnished,Other,50000000.0,Resale,Builder_Floor,15459.0
258,2070.0,3,3.0,Semi-Furnished,Other,37500000.0,New_Property,Builder_Floor,15459.0
260,2000.0,4,4.0,Semi-Furnished,New Friends Colony,52250000.0,New_Property,Builder_Floor,15459.0
262,2550.0,4,4.0,Unfurnished,New Friends Colony,52250000.0,Resale,Builder_Floor,23529.0
264,1400.0,3,3.0,Semi-Furnished,New Friends Colony,50000000.0,New_Property,Builder_Floor,23529.0
265,2800.0,4,5.0,Semi-Furnished,New Friends Colony,52250000.0,New_Property,Builder_Floor,23529.0
266,2700.0,4,4.0,Semi-Furnished,Other,52250000.0,New_Property,Builder_Floor,23529.0
269,2799.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",52250000.0,New_Property,Builder_Floor,11291.5
270,2650.0,4,4.0,Unfurnished,"Kailash Colony, Greater Kailash",52250000.0,New_Property,Builder_Floor,11291.5
271,2200.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",47500000.0,New_Property,Builder_Floor,11291.5
273,2200.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",47500000.0,New_Property,Builder_Floor,20000.0
274,2200.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",40000000.0,New_Property,Builder_Floor,20000.0
276,1440.0,3,3.0,Semi-Furnished,"Kailash Colony, Greater Kailash",26000000.0,New_Property,Builder_Floor,20000.0
278,900.0,2,2.0,Semi-Furnished,"Kailash Colony, Greater Kailash",20000000.0,Resale,Builder_Floor,11111.0
280,1200.0,3,2.0,Semi-Furnished,"Kailash Colony, Greater Kailash",17000000.0,Resale,Builder_Floor,21409.0
282,2799.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",43000000.0,New_Property,Builder_Floor,15363.0
283,1350.0,3,3.0,Unfurnished,"Kailash Colony, Greater Kailash",26000000.0,New_Property,Builder_Floor,19259.0
284,1200.0,3,3.0,Unfurnished,"Kailash Colony, Greater Kailash",25000000.0,New_Property,Builder_Floor,20833.0
285,2177.0,4,5.0,Semi-Furnished,"Kailash Colony, Greater Kailash",51000000.0,New_Property,Builder_Floor,20833.0
286,1500.0,3,3.0,Semi-Furnished,"Kailash Colony, Greater Kailash",40000000.0,New_Property,Builder_Floor,20833.0
287,1600.0,3,3.0,Unfurnished,"Kailash Colony, Greater Kailash",22500000.0,Resale,Builder_Floor,20833.0
289,2150.0,4,4.0,Unfurnished,"Kailash Colony, Greater Kailash",45000000.0,New_Property,Builder_Floor,20930.0
290,2107.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",51100000.0,New_Property,Apartment,20930.0
291,1150.0,3,3.0,Semi-Furnished,"Kailash Colony, Greater Kailash",25500000.0,New_Property,Builder_Floor,20930.0
292,1240.0,3,3.0,Unfurnished,"Kailash Colony, Greater Kailash",26500000.0,New_Property,Builder_Floor,20930.0
293,1000.0,2,2.0,Unfurnished,"Kailash Colony, Greater Kailash",15000000.0,Resale,Builder_Floor,20930.0
295,1150.0,3,3.0,Semi-Furnished,"Kailash Colony, Greater Kailash",26000000.0,New_Property,Builder_Floor,20930.0
296,2000.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",38000000.0,Resale,Builder_Floor,20930.0
299,700.0,2,2.0,Unfurnished,Other,4600000.0,New_Property,Builder_Floor,11291.5
300,750.0,2,2.0,Semi-Furnished,Other,9200000.0,Resale,Builder_Floor,11291.5
301,1350.0,4,3.0,Unfurnished,Other,9500000.0,Resale,Apartment,11291.5
302,900.0,2,2.0,Semi-Furnished,Other,4500000.0,Resale,Builder_Floor,11291.5
303,970.0,3,2.0,Semi-Furnished,Other,6500000.0,Resale,Builder_Floor,11291.5
304,1000.0,3,2.0,Furnished,Other,5650000.0,Resale,Builder_Floor,11291.5
305,1425.0,3,3.0,Semi-Furnished,Other,9300000.0,Resale,Builder_Floor,6526.0
307,1017.0,2,2.0,Furnished,Other,6500000.0,New_Property,Builder_Floor,6526.0
308,650.0,2,2.0,Semi-Furnished,Other,5800000.0,Resale,Apartment,6526.0
309,950.0,3,2.0,Semi-Furnished,Shahdara,5500000.0,Resale,Apartment,6526.0
310,810.0,3,2.0,Semi-Furnished,"Yamuna Vihar, Shahdara",6000000.0,Resale,Builder_Floor,6526.0
311,750.0,2,2.0,Unfurnished,Other,4500000.0,Resale,Builder_Floor,6526.0
312,990.0,2,2.0,Semi-Furnished,Shahdara,4100000.0,Resale,Builder_Floor,6526.0
313,800.0,3,2.0,Semi-Furnished,Other,3800000.0,Resale,Builder_Floor,6526.0
314,675.0,2,1.0,Unfurnished,Shahdara,3300000.0,Resale,Apartment,6526.0
315,558.0,2,1.0,Unfurnished,Other,2900000.0,New_Property,Builder_Floor,6526.0
318,1350.0,4,3.0,Semi-Furnished,Other,11300000.0,New_Property,Builder_Floor,6526.0
319,850.0,3,2.0,Semi-Furnished,Other,4500000.0,Resale,Builder_Floor,6526.0
320,846.0,2,1.0,Unfurnished,Other,3300000.0,New_Property,Apartment,3901.0
321,1300.0,4,3.0,Furnished,Other,11500000.0,New_Property,Builder_Floor,3901.0
322,900.0,3,2.0,Semi-Furnished,Other,6000000.0,New_Property,Builder_Floor,3901.0
323,1050.0,3,2.0,Semi-Furnished,Other,9000000.0,Resale,Apartment,3901.0
324,850.0,2,2.0,Furnished,Other,4500000.0,Resale,Builder_Floor,3901.0
325,1650.0,4,3.0,Furnished,Shahdara,14000000.0,New_Property,Apartment,3901.0
326,1150.0,2,2.0,Semi-Furnished,Other,7300000.0,Resale,Apartment,6347.0
329,810.0,3,2.0,Semi-Furnished,"Yamuna Vihar, Shahdara",6000000.0,Resale,Builder_Floor,11291.5
330,750.0,1,2.0,Semi-Furnished,"Yamuna Vihar, Shahdara",6400000.0,Resale,Builder_Floor,11291.5
331,540.0,2,1.0,Furnished,"Yamuna Vihar, Shahdara",2700000.0,New_Property,Apartment,5000.0
332,747.0,2,2.0,Furnished,"Yamuna Vihar, Shahdara",6500000.0,Resale,Builder_Floor,8701.0
333,720.0,2,1.0,Unfurnished,"Yamuna Vihar, Shahdara",4000000.0,Resale,Builder_Floor,5556.0
335,1125.0,2,2.0,Unfurnished,"Yamuna Vihar, Shahdara",5000000.0,Resale,Builder_Floor,4444.0
336,713.0,2,2.0,Semi-Furnished,"Yamuna Vihar, Shahdara",6000000.0,New_Property,Builder_Floor,4444.0
